navigation_key,node_key,parent_node_key,node_type,title.en_US,url.en_US,css_class.en_US,valid_from,valid_to,title.en_GB,title.nl_BE,title.en_IE,title.nl_NL,url.en_GB,url.nl_BE,url.en_IE,url.nl_NL,css_class.en_GB,css_class.nl_BE,css_class.en_IE,css_class.nl_NL,title.fr_BE,url.fr_BE,css_class.fr_BE
FOOTER_NAVIGATION_LEGAL,node_key_33,,cms_page,Imprint,/en/imprint,,,,Imprint,Imprint,Imprint,Imprint,/en/impressum,/nl/impressum,/en/impressum,/nl/impressum,,,,,Imprint,/fr/imprint,
FOOTER_NAVIGATION_LEGAL,node_key_35,,cms_page,Privacy Policy,/en/privacy,,,,Privacy Policy,Privacy Policy,Privacy Policy,Privacy Policy,/en/datenschutz,/nl/datenschutz,/en/datenschutz,/nl/datenschutz,,,,,Privacy Policy,/fr/privacy,
FOOTER_NAVIGATION_LEGAL,node_key_94,,cms_page,Terms and Conditions,/en/gtc,,,,Terms and Conditions,Terms and Conditions,Terms and Conditions,Terms and Conditions,/en/agb,/nl/agb,/en/agb,/nl/agb,,,,,Terms and Conditions,/fr/gtc,
FOOTER_NAVIGATION_LEGAL,node_key_95,,cms_page,Terms of use,/en/terms-of-use,,,,Terms of use,Terms of use,Terms of use,Terms of use,/en/nutzungsbedingungen,/nl/nutzungsbedingungen,/en/nutzungsbedingungen,/nl/nutzungsbedingungen,,,,,Terms of use,/fr/terms-of-use,
FOOTER_NAVIGATION_INFO,node_key_96,,cms_page,About myWorld.com,/en/about-us,,,,About myWorld.com,About myWorld.com,About myWorld.com,About myWorld.com,/en/uber-uns,/nl/uber-uns,/en/uber-uns,/nl/uber-uns,,,,,About myWorld.com,/fr/about-us,
PAYMENT_PROVIDERS,node_key_36,,label,Paypal,,paypal,,,Paypal,Paypal,Paypal,Paypal,,,,,paypal,paypal,paypal,paypal,Paypal,,paypal
PAYMENT_PROVIDERS,node_key_37,,label,Klarna,,klarna,,,Klarna,Klarna,Klarna,Klarna,,,,,klarna,klarna,klarna,klarna,Klarna,,klarna
SHIPMENT_PROVIDERS,node_key_38,,label,DHL,,dhl,,,DHL,DHL,DHL,DHL,,,,,dhl,dhl,dhl,dhl,DHL,,dhl
SOCIAL_LINKS,node_key_39,,external_url,Twitter,https://twitter.com/myWorld_uk/,twitter,,,Twitter,Twitter,Twitter,Twitter,https://twitter.com/myWorld_de/,https://twitter.com/myWorld_de/,https://twitter.com/myWorld_de/,https://twitter.com/myWorld_de/,twitter,twitter,twitter,twitter,Twitter,https://twitter.com/myWorld_uk/,twitter
SOCIAL_LINKS,node_key_40,,external_url,Pinterest,https://www.pinterest.de/myworld_uk/,pinterest,,,Pinterest,Pinterest,Pinterest,Pinterest,https://www.pinterest.com/myworld_de/,https://www.pinterest.com/myworld_de/,https://www.pinterest.com/myworld_de/,https://www.pinterest.com/myworld_de/,pinterest,pinterest,pinterest,pinterest,Pinterest,https://www.pinterest.de/myworld_uk/,pinterest
SOCIAL_LINKS,node_key_41,,external_url,Instagram,https://www.instagram.com/myworld.com_uk/,instagram,,,Instagram,Instagram,Instagram,Instagram,https://www.instagram.com/myworld.com_deutschland/,https://www.instagram.com/myworld.com_deutschland/,https://www.instagram.com/myworld.com_deutschland/,https://www.instagram.com/myworld.com_deutschland/,instagram,instagram,instagram,instagram,Instagram,https://www.instagram.com/myworld.com_uk/,instagram
SOCIAL_LINKS,node_key_42,,external_url,Facebook,https://www.facebook.com/myWorldcomUK/,facebook,,,Facebook,Facebook,Facebook,Facebook,https://www.facebook.com/myworldcom-deutschland-838309199874712/,https://www.facebook.com/myworldcom-deutschland-838309199874712/,https://www.facebook.com/myworldcom-deutschland-838309199874712/,https://www.facebook.com/myworldcom-deutschland-838309199874712/,facebook,facebook,facebook,facebook,Facebook,https://www.facebook.com/myWorldcomUK/,facebook
PARTNERS,node_key_91,,label,Paypal,,paypal,,,Paypal,Paypal,Paypal,Paypal,,,,,paypal,paypal,paypal,paypal,Paypal,,paypal
PARTNERS,node_key_92,,label,Klarna,,klarna,,,Klarna,Klarna,Klarna,Klarna,,,,,klarna,klarna,klarna,klarna,Klarna,,klarna
PARTNERS,node_key_93,,label,DHL,,dhl,,,DHL,DHL,DHL,DHL,,,,,dhl,dhl,dhl,dhl,DHL,,dhl
